1	1.13	135	3.95	1
4	3.42	75	4.46	2
13	1.16	279	0.19	1
42	1.74	35	3.04	2
44	3.42	123	4.03	4
51	3.51	161	2.63	3
70	3.86	51	5.74	4
75	3.53	124	6.6	4
97	1.9	99	4.61	1
98	0.29	140	0.76	1
99	3.67	46	5.31	4
102	2.91	221	1.45	4
107	2.6	273	5.27	4
119	1.05	118	0.87	1
120	1.62	129	0.51	4
126	0.34	36	0.97	3
129	2.1	221	5.87	4
141	1.1	11	1.39	1
148	2.54	245	4.99	4
151	4.17	58	5.84	2
155	4.01	251	3.83	2
161	2.7	172	6.55	4
162	0.29	275	0.81	1
162	3.23	0	5.83	4
163	1.22	214	-0.36	3
174	0.6	77	4.43	1
177	0.24	215	0.97	1
190	0.23	105	1.33	2
191	1.69	94	3.09	1
193	2.78	137	3.07	3
200	0.30	44	0.52	3
200	2.81	130	4.00	3
214	3.85	119	5.68	4
215	2.98	22	2.34	4
220	3.13	213	4.52	4
225	0.53	338	0.93	3
227	0.33	72	0.84	2
229	1.66	264	0.99	4
237	3.16	208	6.67	4
240	2.71	272	3.46	3
250	3.44	275	6.92	4
251	3.48	123	3.80	2
255	3.41	357	2.14	3
258	1.05	77	2.76	2
263	3.34	267	0.59	4
268	1.81	144	3.82	1
268	2.50	308	5.55	4
284	0.96	98	0.45	2
285	1.51	136	6.12	2
298	2.01	270	0.58	2
306	2.06	243	4.16	1
317	3.02	283	5.14	4
326	3.53	267	2.01	3
356	0.56	218	2.92	1
379	2.04	78	1.42	2
385	3.36	171	5.45	4
387	0.98	352	3.86	2
396	1.95	183	6.16	4
401	1.99	268	2.9	1
425	0.53	346	0.86	2
438	3.28	181	3.11	2
454	1.49	204	2.08	3
465	3.62	130	4.25	4
472	1.12	206	0.72	4
486	3.53	71	3.2	4
506	3.15	39	5.0	4
507	2.03	358	4.46	2
509	2.79	305	4.28	4
509	2.94	55	3.75	4
510	2.45	348	2.53	3
511	1.28	123	3.33	1
521	3.24	152	0.42	2
532	0.97	232	3.44	3
541	2.80	246	3.50	3
558	3.16	271	2.06	2
568	3.16	142	4.35	4
584	1.83	137	4.10	2
592	2.30	150	4.21	2
598	3.17	357	2.73	3
614	2.76	214	4.01	2
626	2.74	134	5.00	4
628	1.83	309	5.2	1
628	2.76	237	5.30	4
636	3.8	343	6.0	4
640	0.44	117	0.62	1
641	2.09	278	2.07	2
641	3.65	205	0.33	2
644	2.77	62	1.45	4
645	2.98	48	2.23	2
652	1.23	272	1.59	2
663	3.21	61	5.8	4
685	3.35	268	6.05	4
687	0.7	13	2.04	1
688	1.71	141	2.19	1
697	0.71	54	0.06	2
701	2.96	105	4.98	4
712	0.47	173	1.17	1
730	2.04	237	2.95	2
734	3.51	175	2.05	3
757	2.94	243	3.37	3
771	1.77	281	0.94	3
799	1.28	108	1.73	4
801	3.67	195	2.58	2
813	3.87	137	2.09	2
814	3.40	346	4.16	3
816	3.50	120	2.66	3
840	3.2	334	2.24	4
840	2.97	302	3.42	4
841	2.00	69	3.60	3
903	2.24	99	1.84	4
927	1.01	294	2.63	4
931	1.38	177	3.40	2
944	1.14	155	2.55	4
959	0.68	117	1.25	4
976	0.25	129	0.34	2
980	1.01	31	1.65	4
984	1.8	42	0.01	1
987	2.05	225	4.1	1
999	3.41	125	2.80	2
1002	0.3	173	2.31	1
1050	2.09	197	2.7	1
1061	1.22	38	1.21	2
1066	1.69	205	4.19	2
1067	2.97	143	4.05	2
1075	1.07	93	2.63	4
1112	2.95	172	4.57	2
1126	1.85	302	2.89	4
1137	0.75	197	0.81	3
1150	0.39	322	2.41	1
1151	0.75	309	3.49	1
1152	0.59	2	0.31	1
1188	3.39	202	2.16	4
1191	3.91	226	3.89	4
1193	3.08	7	2.81	3
1198	3.11	98	5.25	4
1201	2.81	236	4.26	3
1201	3.76	265	5.17	3
1214	0.33	132	1.21	2
1254	2.98	28	0.88	4
1261	1.83	340	1.58	3
1274	1.1	241	3.75	1
1279	2.74	134	5.00	4
1287	2.64	339	1.47	4
1300	0.78	357	1.79	2
1357	3.83	167	3.38	2
1359	1.43	333	3.8	1
1366	3.4	119	4.72	4
1375	0.77	269	4.38	1
1397	2.30	229	4.41	2
1409	2.17	312	2.58	3
1441	3.06	333	3.73	3
1442	2.24	70	6.68	1
1447	0.28	212	0.27	3
1450	1.74	208	2.46	4
1495	3.75	188	2.92	2
1503	0.77	107	1.52	3
1506	1.15	14	3.14	3
1531	0.43	99	0.90	2
1545	2.51	180	5.06	4
1546	0.62	86	1.03	2
1546	4.15	165	3.34	2
1546	2.93	5	3.52	2
1558	3.61	308	1.09	3
1573	3.84	299	4.72	2
1593	3.24	80	1.60	3
1599	2.98	207	2.22	2
1599	3.42	316	2.89	2
1613	0.22	184	1.3	1
1614	3.37	87	-0.44	4
1619	2.1	226	2.82	1
1627	3.41	87	0.37	4
1630	1.77	188	0.91	3
1656	1.06	189	1.65	3
1660	1.40	23	2.00	3
1661	1.37	46	3.22	4
1677	0.61	159	4.76	1
1687	2.11	209	4.10	3
1692	3.19	342	6.82	4
1695	0.31	215	0.61	3
1700	0.29	289	1.07	2
1717	0.87	305	1.46	2
1729	3.83	210	3.81	4
1781	3.4	331	3.78	4
1784	0.33	286	0.58	2
1792	0.53	284	1.06	3
1792	1.99	111	0.98	3
1798	3.81	186	3.75	2
1804	2.88	168	2.84	3
1812	2.71	111	6.84	4
1820	3.78	180	5.89	4
1830	0.46	319	1.29	2
1845	2.06	77	4.97	1
1846	3.77	136	1.07	3
1853	0.96	304	0.24	2
1855	1.5	222	5.79	4
1861	2.10	84	4.93	2
1880	1.7	100	3.66	1
1884	0.95	310	3.65	1
1884	2.54	328	5.61	4
1890	0.41	142	3.44	1
1891	2.09	210	4.46	1
1899	1.84	342	0.94	2
1901	3.82	105	2.16	4
1908	1.29	260	4.11	3
1916	0.27	143	2.73	1
1922	3.78	195	2.73	4
1943	1.42	302	1.42	4
1950	3.35	326	1.69	2
1962	0.12	..	0.04	1
1964	0.39	..	1.90	1
1972	1.05	246	1.05	2
1973	0.79	31	1.69	3
1979	0.84	192	3.2	1
1985	2.82	156	4.19	2
1989	1.12	41	3.49	2
1995	2.96	355	5.34	3
2009	1.51	176	4.11	1
2014	3.75	267	2.50	2
2019	4.01	105	2.61	2
2022	3.14	71	4.16	4
2022	2.5	152	5.3	4
2025	3.49	191	5.05	4
2032	1.19	317	0.34	2
2048	1.84	353	3.33	3
2050	3.33	215	5.33	3
2055	3.80	57	4.09	2
2056	3.87	131	3.37	2
2059	0.38	291	1.1	1
2067	1.64	315	0.80	2
2069	1.12	108	4.24	2
2083	0.26	176	1.03	2
2091	1.30	215	1.72	3
2093	2.08	352	3.10	3
2096	3.50	17	4.13	2
2098	2.88	156	2.58	2
2098	3.24	132	2.40	2
2100	2.98	318	2.10	2
2105	3.01	314	6.28	4
2115	3.59	243	2.75	2
2117	0.33	111	0.71	3
2143	2.16	317	3.5	1
2156	3.35	303	2.64	2
2159	2	323	3.99	1
2163	0.77	248	0.04	3
2169	3.59	66	4.2	4
2174	0.92	226	0.21	2
2174	3.88	314	0.14	2
2206	3.28	87	1.28	3
2213	3.94	91	1.67	3
2222	2.53	333	5.33	4
2247	1.90	355	5.12	2
2283	1.05	21	1.46	3
2287	2.96	11	5.64	4
2295	2.19	78	0.88	2
2298	1.57	194	2.08	2
2314	4.14	201	3.45	2
2317	1.51	110	4.93	2
2376	0.40	213	0.46	3
2377	2.09	335	1.25	2
2377	4.11	326	4.04	2
2379	3.59	139	1.89	3
2380	4.01	250	2.46	2
2413	0.31	67	2.11	1
2421	1.23	290	0.99	2
